solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.26553;0.26553;-1.1401e-07;0.26553
0.50162;0.50162;-1.8899e-07;0.50162
0.32321;0.32321;-9.4997e-08;0.32321
0.39162;0.39162;1.5575e-08;0.39162
0.23653;0.23653;2.647e-08;0.23653
0.41604;0.41604;6.923e-09;0.41604
0.26239;0.26239;-5.7493e-08;0.26239
0.46796;0.46796;-3.607e-07;0.46796
0.28667;0.28667;-2.3048e-07;0.28667
0.47015;0.47015;1.7575e-07;0.47015
0.29088;0.29088;-2.0224e-07;0.29088
0.45579;0.45579;2.6064e-08;0.45579
0.24156;0.24156;-1.9811e-07;0.24156
0.28413;0.28413;6.0852e-08;0.28413
0.40003;0.40003;-1.0937e-08;0.40003
0.47716;0.47716;-2.297e-07;0.47716
0.25261;0.25261;1.7339e-08;0.25261
0.3046;0.3046;-2.0897e-07;0.3046
0.32264;0.32264;4.7643e-08;0.32264
0.38748;0.38748;1.0466e-07;0.38748
0.25532;0.25532;1.1941e-07;0.25532
0.329;0.329;3.2537e-08;0.329
0.52527;0.52527;1.2191e-07;0.52527
0.33959;0.33959;-2.5324e-09;0.33959
0.41114;0.41115;2.1343e-07;0.41115
0.21123;0.21123;1.1264e-07;0.21123
0.53573;0.53573;-2.6924e-07;0.53573
0.35933;0.35933;1.2016e-08;0.35933
0.37717;0.37717;-1.8149e-08;0.37717
0.21501;0.21501;4.4397e-08;0.21501
0.38424;0.38424;-3.8662e-08;0.38424
0.47331;0.47331;1.6947e-07;0.47331
0.30412;0.30412;-9.2971e-08;0.30412
0.43355;0.43355;1.0825e-07;0.43355
0.23793;0.23793;5.4721e-08;0.23793
0.40542;0.40542;1.4656e-07;0.40542
0.19577;0.19577;-2.0427e-07;0.19577
0.56855;0.56855;-5.1735e-08;0.56855
0.39225;0.39225;9.4646e-08;0.39225
0.36322;0.36322;-9.3775e-09;0.36322
0.57207;0.57207;-1.3353e-07;0.57207
0.19702;0.19702;-1.2075e-07;0.19702
0.37235;0.37235;-1.2715e-08;0.37235
0.41142;0.41142;1.6994e-09;0.41142
0.47159;0.47159;1.8608e-07;0.47159
0.31935;0.31935;-1.8727e-08;0.31935
0.40658;0.40658;2.0862e-07;0.40658
0.23897;0.23897;2.3454e-07;0.23897
0.51544;0.51544;-2.0549e-07;0.51544
0.33295;0.33295;-5.5713e-08;0.33295
0.38874;0.38874;1.3633e-08;0.38874
0.22863;0.22863;2.8476e-08;0.22863
0.44024;0.44024;1.5061e-07;0.44024
0.342;0.342;8.7002e-08;0.342
0.35757;0.35757;-1.7794e-08;0.35757
0.26202;0.26202;1.3169e-07;0.26202
0.35854;0.35854;6.6943e-09;0.35854
0.42332;0.42332;-8.8017e-09;0.42332
0.29023;0.29023;1.3137e-08;0.29023
0.27255;0.27255;-7.7356e-08;0.27255
0.39456;0.39456;2.988e-09;0.39456
0.30919;0.30919;8.9519e-08;0.30919
0.35432;0.35432;2.5379e-08;0.35432
